Product_ID,Product Name,Category_ID
FUR-BO-10001798,Bush Somerset Collection Bookcase,C001
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",C002
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,C003
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,C004
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,C005
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",C006
OFF-AR-10002833,Newell 322,C007
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,C008
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,C009
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,C010
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,C004
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,C008
OFF-PA-10002365,Xerox 1967,C011
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,C009
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",C010
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,C009
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",C005
OFF-ST-10000107,Fellowes Super Stor/Drawer,C005
OFF-AR-10003056,Newell 341,C007
TEC-PH-10001949,Cisco SPA 501G IP Phone,C008
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",C009
OFF-AR-10000246,Newell 318,C007
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",C010
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",C002
OFF-BI-10001634,Wilson Jones Active Use Binders,C009
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,C012
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",C001
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,C009
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",C006
OFF-EN-10001509,Poly String Tie Envelopes,C013
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",C007
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",C009
OFF-AR-10001683,Lumber Crayons,C007
OFF-PA-10000249,Easy-staple paper,C011
TEC-PH-10004977,GE 30524EE4,C008
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",C006
OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",C013
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",C001
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",C002
TEC-PH-10000486,Plantronics HL10 Handset Lifter,C008
TEC-PH-10004093,Panasonic Kx-TS550,C008
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",C005
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",C005
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",C012
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,C009
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",C005
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,C012
TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",C008
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",C009
OFF-LA-10002762,Avery 485,C003
FUR-FU-10001706,Longer-Life Soft White Bulbs,C006
FUR-CH-10003061,"Global Leather Task Chair, Black",C002
OFF-FA-10000304,Advantus Push Pins,C014
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,C008
OFF-ST-10000604,Home/Office Personal File Carts,C005
OFF-PA-10001569,Xerox 232,C011
FUR-CH-10003968,Novimex Turbo Task Chair,C002
