Sales,Quantity,Discount,Profit,Order_ID,Product_ID
261.96,2,0,41.9136,CA-2016-152156,FUR-BO-10001798
731.94,3,0,219.582,CA-2016-152156,FUR-CH-10000454
14.62,2,0,6.8714,CA-2016-138688,OFF-LA-10000240
957.5775,5,0.45,-383.031,US-2015-108966,FUR-TA-10000577
22.368,2,0.2,2.5164,US-2015-108966,OFF-ST-10000760
48.86,7,0,14.1694,CA-2014-115812,FUR-FU-10001487
7.28,4,0,1.9656,CA-2014-115812,OFF-AR-10002833
907.152,6,0.2,90.7152,CA-2014-115812,TEC-PH-10002275
18.504,3,0.2,5.7825,CA-2014-115812,OFF-BI-10003910
114.9,5,0,34.47,CA-2014-115812,OFF-AP-10002892
1706.184,9,0.2,85.3092,CA-2014-115812,FUR-TA-10001539
911.424,4,0.2,68.3568,CA-2014-115812,TEC-PH-10002033
15.552,3,0.2,5.4432,CA-2017-114412,OFF-PA-10002365
407.976,3,0.2,132.5922,CA-2016-161389,OFF-BI-10003656
68.81,5,0.8,-123.858,US-2015-118983,OFF-AP-10002311
2.544,3,0.8,-3.816,US-2015-118983,OFF-BI-10000756
665.88,6,0,13.3176,CA-2014-105893,OFF-ST-10004186
55.5,2,0,9.99,CA-2014-167164,OFF-ST-10000107
8.56,2,0,2.4824,CA-2014-143336,OFF-AR-10003056
213.48,3,0.2,16.011,CA-2014-143336,TEC-PH-10001949
22.72,4,0.2,7.384,CA-2014-143336,OFF-BI-10002215
19.46,7,0,5.0596,CA-2016-137330,OFF-AR-10000246
60.34,7,0,15.6884,CA-2016-137330,OFF-AP-10001492
71.372,2,0.3,-1.0196,US-2017-156909,FUR-CH-10002774
1044.63,3,0,240.2649,CA-2015-106320,FUR-TA-10000577
11.648,2,0.2,4.2224,CA-2016-121755,OFF-BI-10001634
90.57,3,0,11.7741,CA-2016-121755,TEC-AC-10003027
3083.43,7,0.5,-1665.0522,US-2015-150630,FUR-BO-10004834
9.618,2,0.7,-7.0532,US-2015-150630,OFF-BI-10000474
124.2,3,0.2,15.525,US-2015-150630,FUR-FU-10004848
3.264,2,0.2,1.1016,US-2015-150630,OFF-EN-10001509
86.304,6,0.2,9.7092,US-2015-150630,OFF-AR-10004042
